Year,Category,Actuals,Annualized_CR,PresBud,PresBud_vs_Annualized_CR,Enacted,PresBud_vs_Enacted
2019,Science & Technology,,,,,,
2019,Clean Air,,,,,,
2019,Clean Air Allowance Trading Programs,6045.0,7518.0,5739.0,-1779.0,,
2019,Atmospheric Protection Program,7050.8,7964.0,0.0,-7964.0,,
2019,Federal Support for Air Quality Management,7283.8,7280.0,4031.0,-3249.0,,
2019,Federal Vehicle and Fuels Standards and Certification,98177.0,92988.0,75135.0,-17853.0,,
2019,"Subtotal, Clean Air",118556.6,115750.0,84905.0,-30845.0,,
2019,Indoor Air and Radiation,,,,,,
2019,Indoor Air:  Radon Program,145.0,158.0,0.0,-158.0,,
2019,Radiation:  Protection,2328.6,1996.0,1000.0,-996.0,,
2019,Radiation:  Response Preparedness,3785.0,3658.0,3666.0,8.0,,
2019,Reduce Risks from Indoor Air,253.3,144.0,0.0,-144.0,,
2019,"Subtotal, Indoor Air and Radiation",6511.9,5956.0,4666.0,-1290.0,,
2019,Enforcement,,,,,,
2019,Forensics Support,13228.8,13576.0,10486.0,-3090.0,,
2019,Homeland Security,,,,,,
2019,Homeland Security:  Critical Infrastructure Protection,9950.4,9153.0,5216.0,-3937.0,,
2019,"Homeland Security:  Preparedness, Response, and",,,,,,
2019,,23161.0,23298.0,22461.0,-837.0,,
2019,Recovery,,,,,,
2019,Homeland Security:  Protection of EPA Personnel and,,,,,,
2019,,438.0,446.0,500.0,54.0,,
2019,Infrastructure,,,,,,
2019,"Subtotal, Homeland Security",33549.4,32897.0,28177.0,-4720.0,,
2019,IT / Data Management / Security,,,,,,
2019,IT / Data Management,3342.0,3068.0,2725.0,-343.0,,
2019,Operations and Administration,,,,,,
2019,Facilities Infrastructure and Operations,64642.7,67875.0,68834.0,959.0,,
2019,Workforce Reshaping,0.0,0.0,5994.0,5994.0,,
2019,"Subtotal, Operations and Administration",64642.7,67875.0,74828.0,6953.0,,
2019,Pesticides Licensing,,,,,,
2019,Pesticides: Protect Human Health from Pesticide Risk,2938.3,3090.0,2406.0,-684.0,,
2019,Pesticides: Protect the Environment from Pesticide Risk,2046.2,2325.0,2122.0,-203.0,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,Pesticides: Realize the Value of Pesticide Availability,548.1,571.0,530.0,-41.0,,
2019,"Subtotal, Pesticides Licensing",5532.6,5986.0,5058.0,-928.0,,
2019,Research:  Air and Energy,,,,,,
2019,Research: Air and Energy,90076.2,91282.0,30711.0,-60571.0,,
2019,Research:  Safe and Sustainable Water Resources,,,,,,
2019,Research: Safe and Sustainable Water Resources,104687.6,105535.0,67261.0,-38274.0,,
2019,Research:  Sustainable Communities,,,,,,
2019,Research: Sustainable and Healthy Communities,142429.1,133415.0,52549.0,-80866.0,,
2019,Research:  Chemical Safety and Sustainability,,,,,,
2019,Human Health Risk Assessment,40506.5,37554.0,22267.0,-15287.0,,
2019,Research: Chemical Safety and Sustainability,,,,,,
2019,Endocrine Disruptors,15497.0,16142.0,10006.0,-6136.0,,
2019,Computational Toxicology,21790.5,21266.0,17213.0,-4053.0,,
2019,Research: Chemical Safety and,,,,,,
2019,,51905.1,51106.0,34518.0,-16588.0,,
2019,Sustainability (other activities),,,,,,
2019,,,88514.0,61737.0,-26777.0,,
2019,"Subtotal, Research: Chemical Safety and Sustainability",89192.6,,,,,
2019,"Subtotal, Research:  Chemical Safety and Sustainability",129699.1,126068.0,84004.0,-42064.0,,
2019,Water: Human Health Protection,,,,,,
2019,Drinking Water Programs,3517.0,3495.0,3595.0,100.0,,
2019,Congressional Priorities,,,,,,
2019,Water Quality Research and Support Grants,7803.4,4072.0,0.0,-4072.0,,
2019,"Total, Science & Technology",723576.4,708975.0,448965.0,-260010.0,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,Radiation:  Protection,7780.1,8519.0,2000.0,-6519.0,,
2019,Radiation:  Response Preparedness,2543.1,2573.0,2221.0,-352.0,,
2019,Reduce Risks from Indoor Air,13389.1,13242.0,0.0,-13242.0,,
2019,"Subtotal, Indoor Air and Radiation",26698.2,27449.0,4221.0,-23228.0,,
2019,Brownfields,,,,,,
2019,Brownfields,25411.8,25419.0,16082.0,-9337.0,,
2019,Compliance,,,,,,
2019,Compliance Monitoring,98283.6,100975.0,86374.0,-14601.0,,
2019,Enforcement,,,,,,
2019,Civil Enforcement,172309.6,170849.0,140677.0,-30172.0,,
2019,Criminal Enforcement,48039.2,45333.0,41107.0,-4226.0,,
2019,Environmental Justice,6401.5,6691.0,2000.0,-4691.0,,
2019,NEPA Implementation,16098.2,16130.0,13496.0,-2634.0,,
2019,"Subtotal, Enforcement",242848.5,239003.0,197280.0,-41723.0,,
2019,Geographic Programs,,,,,,
2019,Geographic Program:  Chesapeake Bay,66773.5,72504.0,7300.0,-65204.0,,
2019,Geographic Program:  Gulf of Mexico,3395.8,8484.0,0.0,-8484.0,,
2019,Geographic Program:  Lake Champlain,4395.0,4369.0,0.0,-4369.0,,
2019,Geographic Program:  Long Island Sound,7989.8,7946.0,0.0,-7946.0,,
2019,Geographic Program:  Other,,,,,,
2019,Lake Pontchartrain,0.0,942.0,0.0,-942.0,,
2019,S.New England Estuary (SNEE),5020.0,4965.0,0.0,-4965.0,,
2019,Geographic Program:  Other (other activities),1374.7,1436.0,0.0,-1436.0,,
2019,,,7343.0,0.0,-7343.0,,
2019,"Subtotal, Geographic Program:  Other",6394.7,,,,,
2019,Great Lakes Restoration,353207.0,297963.0,30000.0,-267963.0,,
2019,Geographic Program: South Florida,1624.0,1692.0,0.0,-1692.0,,
2019,Geographic Program: San Francisco Bay,4493.7,4786.0,0.0,-4786.0,,
2019,Geographic Program: Puget Sound,27971.9,27810.0,0.0,-27810.0,,
2019,"Subtotal, Geographic Programs",476245.4,432897.0,37300.0,-395597.0,,
2019,Homeland Security,,,,,,
